Ovar, 773.2," 4,670.2",5.04009312
Sever do Vouga, 103.8, 556.2,4.358381503
Vagos, 267.3," 1,158.7",3.334829779
Região de Coimbra," 9,705.9"," 48,147.2",3.960611587
Arganil, 142.2," 2,921.5",19.54500703
Cantanhede, 457.8," 1,684.5",2.679554391
Coimbra," 2,900.1"," 15,887.1",4.478121444
Condeixa-a-Nova, 151.6," 2,565.8",15.92480211
Figueira da Foz," 2,036.9"," 2,546.6",0.250233198
Góis, 135.1," 1,942.5",13.37823834
Lousã, 585.2," 2,274.8",2.887218045
Mealhada, 97.3, 902.4,8.274409044
Mira, 249.5," 1,537.1",5.160721443
Miranda do Corvo, 148.3," 1,447.3",8.759271746
Montemor-o-Velho, 137.5," 3,323.9",23.17381818
Mortágua, 123.3, 959.0,6.777777778
Oliveira do Hospital, 415.8," 2,442.8",4.874939875
Pampilhosa da Serra, 170.0, 523.2,2.077647059
Penacova, 253.8, 769.9,2.033490938
Penela, 417.6," 1,447.3",2.465756705
Soure, 340.1," 1,941.5",4.708615113
Tábua, 669.8," 1,043.3",0.557629143
Vila Nova de Poiares, 274.0," 1,986.5",6.25
Região de Leiria," 7,579.5"," 13,858.4",0.828405568
Alvaiázere, 417.3, 999.5,1.395159358
Ansião, 345.2, 580.0,0.6801854
Batalha," 1,223.5"," 1,319.6",0.078545157
Castanheira de Pêra, 157.0, 52.2,-0.667515924
Figueiró dos Vinhos, 499.2, 751.7,0.505809295
Leiria," 2,207.3"," 3,112.2",0.409957867
Marinha Grande," 1,093.6"," 1,188.0",0.08632041
Pedrógão Grande, 195.7, 760.8,2.887583035
Pombal," 1,076.4"," 2,895.1",1.689613527
Porto de Mós, 364.2," 2,199.1",5.038165843
Viseu Dão Lafões," 5,598.7"," 14,045.7",1.508743101
Aguiar da Beira, 87.0," 1,078.6",11.39770115
Carregal do Sal, 98.5, 750.2,6.616243655
Castro Daire, 228.0, 530.3,1.325877193
Mangualde, 260.6, 885.8,2.399079048
Nelas, 366.7, 358.9,-0.021270794
Oliveira de Frades, 652.7," 1,079.2",0.653439559
Penalva do Castelo, 166.0, 576.1,2.470481928
Santa Comba Dão, 343.9, 358.4,0.04216342
São Pedro do Sul, 342.0, 513.6,0.501754386
Sátão, 339.4, 349.4,0.02946376
Tondela, 572.8," 2,044.4",2.569134078
Vila Nova de Paiva, 62.9, 722.3,10.48330684
Viseu," 1,899.4"," 3,618.5",0.905075287
Vouzela, 178.9," 1,180.0",5.595863611
Beira Baixa," 5,651.1"," 14,038.1",1.484135832
Castelo Branco," 1,617.3"," 7,354.9",3.54764113
Idanha-a-Nova," 1,437.3"," 2,159.1",0.502191609
Oleiros, 202.4, 812.5,3.014328063
Penamacor, 299.3, 239.3,-0.200467758
Proença-a-Nova, 510.7, 858.0,0.680046994
Sertã, 799.2," 1,509.4",0.888638639
Vila de Rei, 35.1, 606.5,16.27920228
Vila Velha de Ródão, 749.8, 498.4,-0.335289411
Beiras e Serra da Estrela," 5,179.7"," 16,686.8",2.221576539
Almeida, 86.9, 968.1,10.14039125
Belmonte, 226.4, 394.4,0.74204947
Celorico da Beira, 536.6, 242.2,-0.548639583
Covilhã, 693.5," 1,515.5",1.185291997
Figueira de Castelo Rodrigo, 328.1," 1,997.3",5.087473331
Fornos de Algodres, 141.7, 189.2,0.335215243
Fundão, 130.9," 1,414.1",9.802902979
Gouveia, 776.8, 566.1,-0.271240989
Guarda, 890.5," 2,371.5",1.663110612
Manteigas, 107.4, 311.4,1.899441341
Mêda, 77.3, 173.1,1.239327296
Pinhel, 126.3, 256.3,1.029295329
Sabugal, 234.4," 1,827.0",6.794368601
Seia, 349.1," 2,762.1",6.912059582
Trancoso, 473.8," 1,698.5",2.584845927
Oeste e Vale do Tejo," 15,323.5"," 42,205.6",1.754305479
Oeste," 5,998.3"," 16,260.9",1.710918093
Alcobaça," 1,448.8"," 2,532.9",0.748274434
Alenquer," 1,016.9", 721.7,-0.290294031
Arruda dos Vinhos, 163.9," 1,106.7",5.75228798
